,名前,name,price,ID
0,白山辰,Dragon Car,100000,#721154
1,白山子年,Rat,29888,#11797262
2,七面様,Seven Faces,2200,#3860464145
3,巫女乃花弁,Miko petals,1500,#272957709
4,白山巳鳥,Serpent Bird,500,#2283077892
5,漆弁天,Benten Ⅶ,2222,#6663963430
6,役小角,Ozunu,4500,#158990859
7,亀,Turtle,300,#196149527
8,三銃士,The Three Musketeers,25,#12783386904
9,宇賀畑,Uga Farm,195,#6540427538
10,白山酉,Phoenix,600,#196280584
11,八尺瓊勾玉,Magatama of Yasakani,220,#6041830145
12,壱吉祥天,Kisshoten Ⅰ,1800,#2526217001
13,人形,Doll,600,#196083997
14,宇賀弁財天,Uga Benzaiten,300,#677315097
15,印度小僧,Indian Boy,100,#170852633
16,梵天,Brahma,300,#170983712
17,宇賀炎,Uga Fire,300,#171049232
18,小念賽銭箱,SMall Nun Box,240,#214106395
19,白山巳鳥,Serpent Bird,240,#214171908
20,宇賀神,God Uga,240,#213975313
21,日本武尊,Yamato Takeru,10000,#195167233
22,白山午鳥,Horse Bird,9999,#425984261
23,里奈也,Rina Nari,200,#3444900647
24,巫女乃娘,Miko,1000,#6462178075
25,白山巳鳥,Serpent Bird,150,#15794436
26,金宇賀様,Golden Uga,4000,#1526137863
27,小念賽銭箱,SMall Nun Box,20,#11604590875
28,人形,Doll,150,#15663389
29,白山巳鳥,Serpent Bird,150,#15466756
30,聖夜祭,Christmas,1111,#17693672456
31,白山丑,Ox Bird,1000,#272761099
32,巫女乃花弁,Miko petals,55,#5736890637
33,拾小弁天,Small Benten Ⅹ,500,#5954732589
34,白山子年,Rat,10000,#294454030
35,参弁天,Benten Ⅲ,300,#1069024035
36,白山巳年,Serpent,10000,#138871557
37,拾肆小弁天,Small Benten XIV,400,#1431831089
38,漆弁天,Benten Ⅶ,10000,#153223974
39,弍小里奈,Small Rina Ⅱ,400,#1431765559
40,白山戌,Small Dogs,860,#12314936075
41,玖弁天,Benten Ⅸ,2000,#1341391883
42,御朱印帳女子,Gosyuin note Girl,800,#2040070670
43,巫女乃鳥,Miko Bird,999,#10983047696
